Date,Year,Program,Rating,Mean_Rating,Median_Rating,Diff_From_Mean,Status_Vs_Mean,Z_Score,Is_Outlier,Prev_Week_Rating,WoW_Diff,Std_Rating,CV_Percent,Skewness,Q1_Rating,Q3_Rating,IQR_Rating,Min_Rating,Max_Rating,Broadcast_Days
2025-04-01,2025,JIBS 8뉴스 (JIBS),2.2,2.1,2.0,0.1,평균 이상,0.07,정상 범위,,,1.4,66.79,1.02,1.02,2.98,1.95,0.0,9.4,274.0
2025-04-02,2025,JIBS 8뉴스 (JIBS),1.8,2.1,2.0,-0.3,평균 이하,-0.22,정상 범위,,,1.4,66.79,1.02,1.02,2.98,1.95,0.0,9.4,274.0
2025-04-03,2025,JIBS 8뉴스 (JIBS),1.3,2.1,2.0,-0.8,평균 이하,-0.57,정상 범위,,,1.4,66.79,1.02,1.02,2.98,1.95,0.0,9.4,274.0
2025-04-04,2025,JIBS 8뉴스 (JIBS),2.1,2.1,2.0,-0.0,평균 이상,-0.0,정상 범위,,,1.4,66.79,1.02,1.02,2.98,1.95,0.0,9.4,274.0
2025-04-05,2025,JIBS 8뉴스 (JIBS),3.9,2.1,2.0,1.8,평균 이상,1.28,정상 범위,,,1.4,66.79,1.02,1.02,2.98,1.95,0.0,9.4,274.0
2025-04-06,2025,JIBS 8뉴스 (JIBS),0.4,2.1,2.0,-1.7,평균 이하,-1.21,정상 범위,,,1.4,66.79,1.02,1.02,2.98,1.95,0.0,9.4,274.0
2025-04-07,2025,JIBS 8뉴스 (JIBS),1.3,2.1,2.0,-0.8,평균 이하,-0.57,정상 범위,,,1.4,66.79,1.02,1.02,2.98,1.95,0.0,9.4,274.0
2025-04-08,2025,JIBS 8뉴스 (JIBS),0.4,2.1,2.0,-1.7,평균 이하,-1.21,정상 범위,2.2,-1.8,1.4,66.79,1.02,1.02,2.98,1.95,0.0,9.4,274.0
2025-04-09,2025,JIBS 8뉴스 (JIBS),1.6,2.1,2.0,-0.5,평균 이하,-0.36,정상 범위,1.8,-0.2,1.4,66.79,1.02,1.02,2.98,1.95,0.0,9.4,274.0
2025-04-10,2025,JIBS 8뉴스 (JIBS),2.1,2.1,2.0,-0.0,평균 이상,-0.0,정상 범위,1.3,0.8,1.4,66.79,1.02,1.02,2.98,1.95,0.0,9.4,274.0
