Date,Year,Program,Rating,Mean_Rating,Median_Rating,Diff_From_Mean,Status_Vs_Mean,Z_Score,Is_Outlier,Prev_Week_Rating,WoW_Diff,Std_Rating,CV_Percent,Skewness,Q1_Rating,Q3_Rating,IQR_Rating,Min_Rating,Max_Rating,Broadcast_Days
2025-04-01,2025,뉴스광장 2부 (KBS),13.1,10.92,10.9,2.18,평균 이상,0.81,정상 범위,,,2.69,24.67,0.12,9.17,12.8,3.63,2.2,18.8,196.0
2025-04-02,2025,뉴스광장 2부 (KBS),12.1,10.92,10.9,1.18,평균 이상,0.44,정상 범위,,,2.69,24.67,0.12,9.17,12.8,3.63,2.2,18.8,196.0
2025-04-03,2025,뉴스광장 2부 (KBS),8.5,10.92,10.9,-2.42,평균 이하,-0.9,정상 범위,,,2.69,24.67,0.12,9.17,12.8,3.63,2.2,18.8,196.0
2025-04-04,2025,뉴스광장 2부 (KBS),11.0,10.92,10.9,0.08,평균 이상,0.03,정상 범위,,,2.69,24.67,0.12,9.17,12.8,3.63,2.2,18.8,196.0
2025-04-07,2025,뉴스광장 2부 (KBS),11.4,10.92,10.9,0.48,평균 이상,0.18,정상 범위,,,2.69,24.67,0.12,9.17,12.8,3.63,2.2,18.8,196.0
2025-04-08,2025,뉴스광장 2부 (KBS),11.1,10.92,10.9,0.18,평균 이상,0.07,정상 범위,,,2.69,24.67,0.12,9.17,12.8,3.63,2.2,18.8,196.0
2025-04-09,2025,뉴스광장 2부 (KBS),13.6,10.92,10.9,2.68,평균 이상,1.0,정상 범위,,,2.69,24.67,0.12,9.17,12.8,3.63,2.2,18.8,196.0
2025-04-10,2025,뉴스광장 2부 (KBS),13.4,10.92,10.9,2.48,평균 이상,0.92,정상 범위,13.1,0.3,2.69,24.67,0.12,9.17,12.8,3.63,2.2,18.8,196.0
2025-04-11,2025,뉴스광장 2부 (KBS),11.8,10.92,10.9,0.88,평균 이상,0.33,정상 범위,12.1,-0.3,2.69,24.67,0.12,9.17,12.8,3.63,2.2,18.8,196.0
2025-04-14,2025,뉴스광장 2부 (KBS),15.9,10.92,10.9,4.98,평균 이상,1.85,정상 범위,8.5,7.4,2.69,24.67,0.12,9.17,12.8,3.63,2.2,18.8,196.0
2025-04-15,2025,뉴스광장 2부 (KBS),11.1,10.92,10.9,0.18,평균 이상,0.07,정상 범위,11.0,0.1,2.69,24.67,0.12,9.17,12.8,3.63,2.2,18.8,196.0
2025-04-16,2025,뉴스광장 2부 (KBS),12.0,10.92,10.9,1.08,평균 이상,0.4,정상 범위,11.4,0.6,2.69,24.67,0.12,9.17,12.8,3.63,2.2,18.8,196.0
2025-04-17,2025,뉴스광장 2부 (KBS),14.0,10.92,10.9,3.08,평균 이상,1.15,정상 범위,11.1,2.9,2.69,24.67,0.12,9.17,12.8,3.63,2.2,18.8,196.0
2025-04-18,2025,뉴스광장 2부 (KBS),10.8,10.92,10.9,-0.12,평균 이하,-0.04,정상 범위,13.6,-2.8,2.69,24.67,0.12,9.17,12.8,3.63,2.2,18.8,196.0
2025-04-21,2025,뉴스광장 2부 (KBS),13.2,10.92,10.9,2.28,평균 이상,0.85,정상 범위,13.4,-0.2,2.69,24.67,0.12,9.17,12.8,3.63,2.2,18.8,196.0
2025-04-22,2025,뉴스광장 2부 (KBS),11.6,10.92,10.9,0.68,평균 이상,0.25,정상 범위,11.8,-0.2,2.69,24.67,0.12,9.17,12.8,3.63,2.2,18.8,196.0
2025-04-23,2025,뉴스광장 2부 (KBS),8.9,10.92,10.9,-2.02,평균 이하,-0.75,정상 범위,15.9,-7.0,2.69,24.67,0.12,9.17,12.8,3.63,2.2,18.8,196.0
2025-04-24,2025,뉴스광장 2부 (KBS),10.8,10.92,10.9,-0.12,평균 이하,-0.04,정상 범위,11.1,-0.3,2.69,24.67,0.12,9.17,12.8,3.63,2.2,18.8,196.0
2025-04-25,2025,뉴스광장 2부 (KBS),10.9,10.92,10.9,-0.02,평균 이하,-0.01,정상 범위,12.0,-1.1,2.69,24.67,0.12,9.17,12.8,3.63,2.2,18.8,196.0
2025-04-28,2025,뉴스광장 2부 (KBS),9.0,10.92,10.9,-1.92,평균 이하,-0.71,정상 범위,14.0,-5.0,2.69,24.67,0.12,9.17,12.8,3.63,2.2,18.8,196.0
2025-04-29,2025,뉴스광장 2부 (KBS),10.3,10.92,10.9,-0.62,평균 이하,-0.23,정상 범위,10.8,-0.5,2.69,24.67,0.12,9.17,12.8,3.63,2.2,18.8,196.0
2025-04-30,2025,뉴스광장 2부 (KBS),12.0,10.92,10.9,1.08,평균 이상,0.4,정상 범위,13.2,-1.2,2.69,24.67,0.12,9.17,12.8,3.63,2.2,18.8,196.0
2025-05-01,2025,뉴스광장 2부 (KBS),14.4,10.92,10.9,3.48,평균 이상,1.29,정상 범위,11.6,2.8,2.69,24.67,0.12,9.17,12.8,3.63,2.2,18.8,196.0
2025-05-02,2025,뉴스광장 2부 (KBS),6.2,10.92,10.9,-4.72,평균 이하,-1.75,정상 범위,8.9,-2.7,2.69,24.67,0.12,9.17,12.8,3.63,2.2,18.8,196.0
2025-05-05,2025,뉴스광장 2부 (KBS),12.9,10.92,10.9,1.98,평균 이상,0.74,정상 범위,10.8,2.1,2.69,24.67,0.12,9.17,12.8,3.63,2.2,18.8,196.0
