Date,Year,Program,Rating,Mean_Rating,Median_Rating,Diff_From_Mean,Status_Vs_Mean,Z_Score,Is_Outlier,Prev_Week_Rating,WoW_Diff,Std_Rating,CV_Percent,Skewness,Q1_Rating,Q3_Rating,IQR_Rating,Min_Rating,Max_Rating,Broadcast_Days
2025-04-01,2025,뉴스투데이 제주 (MBC),3.0,2.87,2.7,0.13,평균 이상,0.07,정상 범위,,,2.0,69.8,2.4,1.7,3.75,2.05,0.0,14.4,191.0
2025-04-02,2025,뉴스투데이 제주 (MBC),3.8,2.87,2.7,0.93,평균 이상,0.47,정상 범위,,,2.0,69.8,2.4,1.7,3.75,2.05,0.0,14.4,191.0
2025-04-03,2025,뉴스투데이 제주 (MBC),4.3,2.87,2.7,1.43,평균 이상,0.71,정상 범위,,,2.0,69.8,2.4,1.7,3.75,2.05,0.0,14.4,191.0
2025-04-04,2025,뉴스투데이 제주 (MBC),12.3,2.87,2.7,9.43,평균 이상,4.71,이상치(급증),,,2.0,69.8,2.4,1.7,3.75,2.05,0.0,14.4,191.0
2025-04-07,2025,뉴스투데이 제주 (MBC),1.9,2.87,2.7,-0.97,평균 이하,-0.48,정상 범위,,,2.0,69.8,2.4,1.7,3.75,2.05,0.0,14.4,191.0
2025-04-08,2025,뉴스투데이 제주 (MBC),6.3,2.87,2.7,3.43,평균 이상,1.71,정상 범위,,,2.0,69.8,2.4,1.7,3.75,2.05,0.0,14.4,191.0
2025-04-09,2025,뉴스투데이 제주 (MBC),4.3,2.87,2.7,1.43,평균 이상,0.71,정상 범위,,,2.0,69.8,2.4,1.7,3.75,2.05,0.0,14.4,191.0
2025-04-10,2025,뉴스투데이 제주 (MBC),1.7,2.87,2.7,-1.17,평균 이하,-0.58,정상 범위,3.0,-1.3,2.0,69.8,2.4,1.7,3.75,2.05,0.0,14.4,191.0
2025-04-11,2025,뉴스투데이 제주 (MBC),2.8,2.87,2.7,-0.07,평균 이하,-0.03,정상 범위,3.8,-1.0,2.0,69.8,2.4,1.7,3.75,2.05,0.0,14.4,191.0
2025-04-14,2025,뉴스투데이 제주 (MBC),3.1,2.87,2.7,0.23,평균 이상,0.12,정상 범위,4.3,-1.2,2.0,69.8,2.4,1.7,3.75,2.05,0.0,14.4,191.0
2025-04-15,2025,뉴스투데이 제주 (MBC),5.3,2.87,2.7,2.43,평균 이상,1.21,정상 범위,12.3,-7.0,2.0,69.8,2.4,1.7,3.75,2.05,0.0,14.4,191.0
