Date,Year,Program,Rating,Mean_Rating,Median_Rating,Diff_From_Mean,Status_Vs_Mean,Z_Score,Is_Outlier,Prev_Week_Rating,WoW_Diff,Std_Rating,CV_Percent,Skewness,Q1_Rating,Q3_Rating,IQR_Rating,Min_Rating,Max_Rating,Broadcast_Days
2025-04-01,2025,모닝와이드 3부 (JIBS),2.3,1.77,1.65,0.53,평균 이상,0.56,정상 범위,,,0.95,53.93,0.84,1.0,2.4,1.4,0.1,5.2,196.0
2025-04-02,2025,모닝와이드 3부 (JIBS),2.4,1.77,1.65,0.63,평균 이상,0.66,정상 범위,,,0.95,53.93,0.84,1.0,2.4,1.4,0.1,5.2,196.0
2025-04-03,2025,모닝와이드 3부 (JIBS),2.3,1.77,1.65,0.53,평균 이상,0.56,정상 범위,,,0.95,53.93,0.84,1.0,2.4,1.4,0.1,5.2,196.0
2025-04-04,2025,모닝와이드 3부 (JIBS),0.7,1.77,1.65,-1.07,평균 이하,-1.12,정상 범위,,,0.95,53.93,0.84,1.0,2.4,1.4,0.1,5.2,196.0
2025-04-07,2025,모닝와이드 3부 (JIBS),1.8,1.77,1.65,0.03,평균 이상,0.03,정상 범위,,,0.95,53.93,0.84,1.0,2.4,1.4,0.1,5.2,196.0
2025-04-08,2025,모닝와이드 3부 (JIBS),2.0,1.77,1.65,0.23,평균 이상,0.24,정상 범위,,,0.95,53.93,0.84,1.0,2.4,1.4,0.1,5.2,196.0
2025-04-09,2025,모닝와이드 3부 (JIBS),1.9,1.77,1.65,0.13,평균 이상,0.14,정상 범위,,,0.95,53.93,0.84,1.0,2.4,1.4,0.1,5.2,196.0
2025-04-10,2025,모닝와이드 3부 (JIBS),5.0,1.77,1.65,3.23,평균 이상,3.39,이상치(급증),2.3,2.7,0.95,53.93,0.84,1.0,2.4,1.4,0.1,5.2,196.0
2025-04-11,2025,모닝와이드 3부 (JIBS),3.6,1.77,1.65,1.83,평균 이상,1.92,정상 범위,2.4,1.2,0.95,53.93,0.84,1.0,2.4,1.4,0.1,5.2,196.0
2025-04-14,2025,모닝와이드 3부 (JIBS),0.3,1.77,1.65,-1.47,평균 이하,-1.54,정상 범위,2.3,-2.0,0.95,53.93,0.84,1.0,2.4,1.4,0.1,5.2,196.0
