Date,Year,Program,Rating,Mean_Rating,Median_Rating,Diff_From_Mean,Status_Vs_Mean,Z_Score,Is_Outlier,Prev_Week_Rating,WoW_Diff,Std_Rating,CV_Percent,Skewness,Q1_Rating,Q3_Rating,IQR_Rating,Min_Rating,Max_Rating,Broadcast_Days
2026-01-01,2026,뉴스데스크 (MBC),8.5,10.24,10.0,-1.74,평균 이하,-0.51,정상 범위,,,3.38,32.99,0.33,7.9,12.4,4.5,2.0,19.9,218.0
2026-01-02,2026,뉴스데스크 (MBC),6.9,10.24,10.0,-3.34,평균 이하,-0.99,정상 범위,,,3.38,32.99,0.33,7.9,12.4,4.5,2.0,19.9,218.0
2026-01-03,2026,뉴스데스크 (MBC),8.2,10.24,10.0,-2.04,평균 이하,-0.6,정상 범위,,,3.38,32.99,0.33,7.9,12.4,4.5,2.0,19.9,218.0
2026-01-04,2026,뉴스데스크 (MBC),12.8,10.24,10.0,2.56,평균 이상,0.76,정상 범위,,,3.38,32.99,0.33,7.9,12.4,4.5,2.0,19.9,218.0
2026-01-05,2026,뉴스데스크 (MBC),11.2,10.24,10.0,0.96,평균 이상,0.29,정상 범위,,,3.38,32.99,0.33,7.9,12.4,4.5,2.0,19.9,218.0
2026-01-06,2026,뉴스데스크 (MBC),6.5,10.24,10.0,-3.74,평균 이하,-1.11,정상 범위,,,3.38,32.99,0.33,7.9,12.4,4.5,2.0,19.9,218.0
2026-01-07,2026,뉴스데스크 (MBC),4.4,10.24,10.0,-5.84,평균 이하,-1.73,정상 범위,,,3.38,32.99,0.33,7.9,12.4,4.5,2.0,19.9,218.0
2026-01-08,2026,뉴스데스크 (MBC),8.9,10.24,10.0,-1.34,평균 이하,-0.4,정상 범위,8.5,0.4,3.38,32.99,0.33,7.9,12.4,4.5,2.0,19.9,218.0
2026-01-09,2026,뉴스데스크 (MBC),11.1,10.24,10.0,0.86,평균 이상,0.26,정상 범위,6.9,4.2,3.38,32.99,0.33,7.9,12.4,4.5,2.0,19.9,218.0
2026-01-10,2026,뉴스데스크 (MBC),13.0,10.24,10.0,2.76,평균 이상,0.82,정상 범위,8.2,4.8,3.38,32.99,0.33,7.9,12.4,4.5,2.0,19.9,218.0
2026-01-11,2026,뉴스데스크 (MBC),12.0,10.24,10.0,1.76,평균 이상,0.52,정상 범위,12.8,-0.8,3.38,32.99,0.33,7.9,12.4,4.5,2.0,19.9,218.0
2026-01-12,2026,뉴스데스크 (MBC),10.3,10.24,10.0,0.06,평균 이상,0.02,정상 범위,11.2,-0.9,3.38,32.99,0.33,7.9,12.4,4.5,2.0,19.9,218.0
2026-01-13,2026,뉴스데스크 (MBC),5.4,10.24,10.0,-4.84,평균 이하,-1.43,정상 범위,6.5,-1.1,3.38,32.99,0.33,7.9,12.4,4.5,2.0,19.9,218.0
2026-01-14,2026,뉴스데스크 (MBC),7.0,10.24,10.0,-3.24,평균 이하,-0.96,정상 범위,4.4,2.6,3.38,32.99,0.33,7.9,12.4,4.5,2.0,19.9,218.0
2026-01-15,2026,뉴스데스크 (MBC),3.0,10.24,10.0,-7.24,평균 이하,-2.14,이상치(급감),8.9,-5.9,3.38,32.99,0.33,7.9,12.4,4.5,2.0,19.9,218.0
2026-01-16,2026,뉴스데스크 (MBC),5.1,10.24,10.0,-5.14,평균 이하,-1.52,정상 범위,11.1,-6.0,3.38,32.99,0.33,7.9,12.4,4.5,2.0,19.9,218.0
2026-01-17,2026,뉴스데스크 (MBC),11.0,10.24,10.0,0.76,평균 이상,0.23,정상 범위,13.0,-2.0,3.38,32.99,0.33,7.9,12.4,4.5,2.0,19.9,218.0
2026-01-18,2026,뉴스데스크 (MBC),10.1,10.24,10.0,-0.14,평균 이하,-0.04,정상 범위,12.0,-1.9,3.38,32.99,0.33,7.9,12.4,4.5,2.0,19.9,218.0
2026-01-19,2026,뉴스데스크 (MBC),5.7,10.24,10.0,-4.54,평균 이하,-1.34,정상 범위,10.3,-4.6,3.38,32.99,0.33,7.9,12.4,4.5,2.0,19.9,218.0
